2020-08-11 12:38:26,446 - Recorded info
2020-08-11 12:40:03,320 - Recorded info
2020-08-11 13:03:12,891 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1217 , 58 
2020-08-11 13:03:12,893 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1259 , 16 
2020-08-11 13:03:38,354 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1180 , 95 
2020-08-11 13:03:38,355 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1258 , 17 
2020-08-11 13:03:38,356 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1180 , 95 
2020-08-11 13:03:38,356 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1258 , 17 
2020-08-11 13:04:03,823 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1222 , 53 
2020-08-11 13:04:03,823 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1224 , 51 
2020-08-11 13:04:03,824 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1222 , 53 
2020-08-11 13:04:03,825 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1224 , 51 
2020-08-11 13:04:29,232 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1174 , 101 
2020-08-11 13:04:29,233 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1174 , 101 
2020-08-11 13:04:29,234 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1206 , 69 
2020-08-11 13:04:54,674 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1188 , 87 
2020-08-11 13:04:54,676 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1226 , 49 
2020-08-11 13:04:54,682 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1188 , 87 
2020-08-11 13:04:54,683 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1226 , 49 
2020-08-11 13:05:19,986 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1214 , 61 
2020-08-11 13:05:19,987 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1250 , 25 
2020-08-11 13:05:19,991 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1214 , 61 
2020-08-11 13:05:19,992 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1250 , 25 
2020-08-11 13:05:45,399 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1175 , 100 
2020-08-11 13:05:45,400 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1238 , 37 
2020-08-11 13:05:45,401 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1175 , 100 
2020-08-11 13:05:45,401 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1238 , 37 
2020-08-11 13:06:10,951 - >>>>>>>>1ST MX 1ST LEVEL MINOR SOLID HUMIDITY @ 2 STD -> 107 spec is 104.218756
2020-08-11 13:06:10,952 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1168 , 107 
2020-08-11 13:06:10,953 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1190 , 85 
2020-08-11 13:06:36,543 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1178 , 97 
2020-08-11 13:06:36,544 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1224 , 51 
2020-08-11 13:06:36,545 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1178 , 97 
2020-08-11 13:06:36,546 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1224 , 51 
2020-08-11 13:07:01,964 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1194 , 81 
2020-08-11 13:07:01,965 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:07:01,965 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1194 , 81 
2020-08-11 13:07:01,966 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:07:27,387 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1226 , 49 
2020-08-11 13:07:27,388 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1226 , 49 
2020-08-11 13:07:27,389 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1226 , 49 
2020-08-11 13:07:27,390 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1226 , 49 
2020-08-11 13:07:52,800 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1176 , 99 
2020-08-11 13:07:52,801 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1224 , 51 
2020-08-11 13:07:52,801 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1176 , 99 
2020-08-11 13:07:52,802 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1224 , 51 
2020-08-11 13:08:17,953 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1212 , 63 
2020-08-11 13:08:17,954 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:08:17,954 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1212 , 63 
2020-08-11 13:08:17,955 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:08:43,299 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1174 , 101 
2020-08-11 13:08:43,300 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1174 , 101 
2020-08-11 13:08:43,301 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1192 , 83 
2020-08-11 13:09:08,582 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1174 , 101 
